reference,base_prediction
ah pertandingan yang dianjurkan beliau tetap ah rendah [UNK] rendah diri dan tidak terlalu sombong untuk bertemu atau mengajar orang-orang lain bermain badminton itu antara yang saya minat tentang beliau, pertandingan yang dihancurkan beliau tetap rendah rindik rendah diri dan tidak terlalu sombong untuk bertemu atau mengajar orangorang lain berbanyak badminton itu antara yang saya minat tentang beliau
disebabkan saya minat beliau saya minat badminton, disebabkan saya minat beliau saya minat babington
hm, hmm
ha ah, haa
ha saya rasa itu je lah antara sebab saya minat badminton, saya rasa itu je lah antara sebab saya minat badminton
dan awak bagaimana pula adakah awak ada benda lagi awak nak ce- cerita pasal sukan, dan awak bagaimana pula adakah awak ada benda lagi yang nak ceritakan pasal sukan
oh, oh
ha ah ah, hmmm
oh jadi rugby ni, oh jadi rak b ni
jadi rugby ni memang [UNK], jadi rabin ni memang suka
ah, terima kasih
okey okey dia memerlukan tahap, okey ia memerlukan tahap
tahap ah ke [UNK] kekuatan yang kuatlah, tentang kekuatan yang kuat lah
oh, oh
hebat juga ya ayah kamu, hebat juga ya ayah kamu
ah tapi saya rasa, tapi saya rasa
ah, ya
oh jadi awak nak sampaikan yang kita ambil sukan yang ringan kita bawa masuk ke sukan sukan yang, oh jadi awak nak sampaikan yang kita ambil sukan yang ringan kita bawa masuk ke sukansukan yang ringan
ah berat macam begini lah, berat macam ginilah
contohnya kita gabung joging campur lompat untuk [UNK] untuk, contohnya kita gabung jogging campur lompat untuk
untuk jadikan ah bola sepak, untuk menjadikan bola sepak
hah okey sekarang saya faham, haa ok sekarang saya faham
tapi saya rasa macam, tapi saya rasa macam
kita patut ah menyebarkan tentang kebaikan sukan ni kepada semua pihaklah sebab saya tengok ramai yang membiarkan ah sukan ini terbiar dia macam dah tak kisah pasal sukan dia ramai yang kurang semangat kesukanan, kita patut menyumbangkan tentang kebaikan sukan ini kepada semua pihak lah sebab saya tengok ramai yang membiarkan sukan ini terbiar dia macam dia tak kisah pasal sukan dia ramai yang kurang semangat ke sukan kan
em, hmm
ya ramai yang tak nampak ah saya rasa itu sahaja kot untuk topik kita tentang sukan terima kasih sebab memberitahu saya sedikit sebanyak tentang sukan ni lah, ramai yang tak nampak saya rasa itu sahaja untuk topik kita tentang sukan terima kasih sebab memberitahu saya sebanyak tentang sukan ni lah
hm, haa
okey terima kasih ha waalaikumsalam, terima kasih
hello Umi, hello mi
um hm um kau sihat, hmm kecil eh
kenapa, kenapa
kau pergilah, kau pergilah
klinik ke, kliniker
check, cik
tau sikit, tau sikit
kau stress kenapa, kau straight kenapa
so apa yang kau tau pasal stress ni, so apa yang kata awak pasal stress ni
aku tengok juga kes dia pasal kesihatan ni, aku ada tengok juga kes kesihatan ni
tentang kemurungan, tentang kemurungan
kemurungan ni macam penyakit mental yang menyebabkan perasaan macam mood lah, kerumunan ni macam penyakit mental yang menyebabkan perasaan macam mood lah
mood seseorang, mujiz seorang
um menjadi, menjadi
semakin menurun, semakin menurun
macam boleh menjejaskan, macam boleh menjadikan
kehidupan harian, kehidupan harian
termasuklah fikiran perasaan tingkahlaku ah macam tu lah, termasuklah fikiran perasaan tekan laku macam tu lah
kiranya tak dapat kawal, sekiranya tak dapat kawal
dia boleh mendorong kepada tindakan membunuh diri, dia boleh mendorong kepada tindakan membunuh diri
so kenapa seseorang boleh mengalami [UNK] ni en sebab-sebab dia macam, so kenapa seseorang boleh mengalami kemurahannya sebabsebab dia macam
kemurungan boleh berlaku di dalam family, kemudian boleh berlaku di dalam family
atau, atau
peristiwa atau kejadian yang menyebabkan seorang tertekan contoh macam, peristiwa atau kejadian yang menyebabkan seseorang tertekan contoh macam
kematian ahli keluarga, kematian ahli keluarga
gagal exam, gagalizm
penceraian ibu bapa, kecil raya ni berapa
um ada, hmm ada
kalau aku jadi nenek aku time tu sakit aku bagi dia macam, kalau aku jaga nenek aku tentu sakit aku bagi dia macam
makan bubur ke, makan bubur ke
so makan makan yang tawar, makanmakan yang tawar
dia macam tadi lah aku cakap macam kau, dia macam telap dekat dia macam kau
terlalu banyak masalah lepas tu, terlalu banyak masalah lepas tu
kau pendam so dia menyeksa diri kau macam tu lah, kau pendam sudah menyiksa diri kau macam tu lah
um hm, hmm
so kalau cakap pasal kesihatan ni kan biasa nya kalau dekat sekolah kan [UNK] macam mesti satu, so kalau cakap pasal kesehatan ni kan biasanya kalau kat sekolah kan macam mesti satu
satu tahun sekolah tu mesti macam ada, satu tahun sekolah itu mesti ada jaman di
ha nurse nurse datang lepas tu bagi inject kan, nursenurse datang pasal bagian jn
itu macam kau, ni tu macam kau
macam apa orang cakap, macam apa macam ke
tu untuk hormon lah kalau biasa kalau, itu untuk hormon lah biasa kalau
tingkatan tiga kena inject tapi untuk perempuan je, tingkatan 3 kena njet tapi tu untuk perempuan je
um hm, tak
ha ah, haah
um hm, hmm
pernah macam jiran aku lah dia ada seorang lah macam tu, penat macam jiran aku lah dia ada seorang lah macam tu
tapi kadang kadang dia macam, tapi kadangkadang dia macam
ganas sikit dia suka kejar kejar orang, ganas sikit dia suka kerjakerja orang
um tiba-tiba dia macam tiba-tiba datang peluk tak nak lepas, tibatiba dia macam tibatiba datang peluk tak nak lepas macam
tarik tarik, tariktarik
ganas, ganas
um pasal kesihatan, hmm saya kisah saya tengah
K, okey
bye, bye
hello, helo
aku nak, hakuna
kongsi ah sikit pasal, kongsi sikit pasal
makanan, makanan
kegemaran aku, kegemaran aku
aku suka makan makanan yang tradisional tau, aku suka makan makanan yang tradisional tau
makanan orang Melayu la contoh macam, makanan orang melayu lah contoh macam
ah nasi lemak ke, nasi lemak ke
erm nasi lemak ke, nasi lemak ke
ah lemang ke macam ah orang Melayu punya kalau kuih tu macam, lemang ke macam orang melayu punya kalau kuih tu macam
kalau kuih raya masa raya ada kuih bahulu, kalau kuih raya masa raya ada kuih bahulu
ah kuih gula melaka ah [UNK] ketupat semua kan, kuih gula melaka setelah ketupat semua kan
tapi yang paling aku suka nasi lemak la sebab nasi lemak tu, tapi yang paling aku suka nasi lemak lah sebab nasi lemak tu
dia macam dia macam istime-istimewa la sebab dia dia di balut dengan, dia macam istimewa lah sebab dia dipalut dengan
daun daun pisang ah so buatkan nasi lemak tu bau wangi sedap, daun pisang so buatkan nasi lemak tu bau wangi sedap
lepas tu [UNK], lepas tu kalau
ha ah dengan sambal dia ya Allah sedap nya, dengan sambal dia ya allah sedapnya
hm erm, hmm
ah, hmm
istimewa makanan, istimewa makanan
makanan [UNK] istimewa na-nasi lemak tu, makanan istimewa nasi lemak tu
ya la dia dibalut oleh, yelah dia dibalut oleh
di-dia dibalut dengan ah apa tu, dia dibalut dengan apa tu
daun pisang lepas tu, dan pisang lepas tu
ah ada timun hiris, ada timun hiris
ah dia hiris, dihiris
dia hiris timun tu, dihiris timun tu
lepas tu ada ikan bilis ada kacang goreng ada telur, lepas tu ada ikan milis ada kacang goreng ada telur
telur rebus, telur rupus
lepas tu sambal dia kalau makan panas panas lepas tu pedas memang sedap ah, pasal sambal dia kalau makan panaspanas pasal pedas memang sedap lah
kalau macam kalau kau tak makan dengan telur kalau kau ada alergik ke ada trauma ke apa, kalau macam kalau kau tak nak makan dengan telur kalau kau ada alergi ke ada trauma ke apa
kau boleh makan dengan ayam, kau boleh makan dengan ayam
dengan, dengan
sotong ke kerang ke, sotong ke gerang ke
ha ah sedap, uhuh stop
kal-kalau kau yang jenis makan dengan sayur, kalau kau yang jenis makanan sayur
kalau boleh makan dengan, kau boleh makan dengan
[UNK] ah apa ni, apa ni
sayur sayur sayuran acar yang macam orang makan nasi nasi nasi minyak tu ah, sayursayuran acar yang macam orang makan nasi minyak tu
ah kau pula apa makanan kegemaran kau, kau pula apa makanan kegemaran kau
tak nak kongsi ke, tak nak kongsi ke
oh mengapa, oh mana pokoknya
oh so kau ni dikategorikan yang, oh so kau ni ni kita gerikan ya
stress la sebab tu suka makan makanan pedas, sebab tu suka makan makanan pedas
ah so kau dah sampai sana tu kau order makanan apa, so kau dah sampai sana tu kau ada makan apa
mana tahu aku boleh makan juga kan lepas ni, mana tahu aku boleh makan juga kan lepas ni
oh biasa lah, oh ya sila
mahal juga eh tapi berpatutan la sebab dia datang daripada Korea kan, mahal juga eh tapi berpatutan lah sebab datang dari korea kan
ah, oh
um, hmm
selain daripada makanan kat situ, selain daripada makan dekat situ
kalau kalau contoh kau macam, kalau cuntuk kau macam
malas nak keluar ke kan mana tahu kan nak duduk rumah ke, malas nak keluar ke kan mana tahu kan nak duduk rumah ke
tapi kau ada rasa macam nak makan makanan Korea, tapi kau ada rasa macam nak makan makanan korea
ah ah ah so makanan macam, su makanan macam
kalau kau nak makan makanan Korea, kalau kau nak makan makanan korea
tapi kau masak keluar kau buat apa, tapi kau masih nak keluar kau buat apa ke
kau masak engkau buat apa lah, kau masak kau buat apa lagi
macam kau buat sendiri, macam aku buat sendiri
makanan tu makanan apa, makanan tu makan apa
macam sushi ke, ini cium si ke
oh, oh
um, terima kasih kerana menonton
hm um, hmm
betul sedap, mutin sedap
pernah sedap sangat, punah sedap sangat
kau nak tahu tak, kena tu tak
selain daripada nasi lemak, selain daripada nasi lemak
yang aku suruh kau makan tu, yang aku semuka makan tu
kuih pula, kuib lah
aku suka, aku suka
makan masa Hari Raya lah, masa hairahilah
biasanya benda ni ada, biasanya benda ni ada
ha Kuih Bahulu aku suka sangat Kuih Bahulu ni, kuih baulu aku suka sangat kuih baulu ni
ah dia dia popular dekat Malaysia ni, dia popular dekat malaysia ni
um lagi lagi kalau masa, negleki keramai
Hari Raya ke cuti cuti, hari raya ke cuticuti
cuti cuti macam, cuti macam
cuti, cuti
cuti cuti, citi
cuti sekolah ke apa ke kan ah macam, citi sekolah ke apa ke kan macam
yang ramai orang lah cuti, yang ramai orang lah cuti
ah so kuih Kuih Bahulu ni macam, so kuih
Kuih Bahulu ni macam, baunya macam
senanglah nak dapat, senang rapat
bahulu ni, baulu ni
dia, 10
terdiri daripada tiga jenis kuih, terdiri daripada tiga jenis kuih
tau yang merupakan, yang merupakan
yang merupakan bahulu ah dia dikenakan bahulu kecil, yang merupakan bahulu dia dikenakan bahulu kecil
lapisan bahulu bahulu, lapisan bahulubahulu
dan roll bahulu bahulu, dan rule bahulbahulu
layer dan roll agak sukar lah, layer dan role agak sukar lah
untuk um ah kalau kau nak buat kat rumah kau, untuk kalau kau nak buat kat rumah kau suka
susah lah kalau kau nak jumpa kat supermarket tu kan bahulu, susah lah kalau kau nak jumpa kat supermarket tu kan bahulu
bahulu, bahulu
ha ah, hmm
bahulu layer ni bahu, bau lu layer ni baut
lapisan bahulu tu susah nak jumpa dekat, lapisan bahu lu tu susah nak jumpa dekat
dekat supermarket ke apa ke kan, dekat supermarket ke apa ke kan
selain daripada bahulu tu, pada bahu lutut
pun aku suka makan, pun aku suka makan
lemang ke ah lagi lagi lemah lah, mangga leleki lemang lah
lemang [UNK] beb ah kalau, lemang kalau
kalau macam mahal ke, kalau maaf saya mahalkan
nak buat pun kalau macam aku biasa, nak buat pun kalau macam aku biasa
lepas tu balik kampung lepas tu aku buat lah lemang, balik kampung so aku buat lah lemang
sendirikan dengan, diri dan dengan
harta nenek aku so macam best lah, hantu nenek aku so macam best lah
buat lemang cari buluh dekat hutan and then masak pula ah, buat lemang cari buluh dekat hutan and then masak pula
kita masukkan beras dekat dalam tu lepas tu, kita masukkan beras kat dalam tu lepas tu
masuk air dia macam masak nasi, masuk air dia macam masak nasi
tapi kita guna buluh, tapi kita guna bulu
so sedap lah, so sedap lah
dan, den
senang lah nak buat cuma lama sikit lah nak kena tunggu, senang lah nak buat cuma lama sikit lah nak kena tunggu
ha ah, tak
oh epok-epok, oh ibuibu
oh, oh
hm, hmm
[UNK] situ berbeza sikit, tersitu bebes isi
oh, hmm
ah kalau, kalau
makanan, makanan
dekat Malaysia ni kan kita banyak banyak bangsa kan budaya so, dekat malaysia ni kan kita banyakbanyak bangsa kan budaya so
kalau Bangsa Cina, kalau bangsa china
eh ah bangsa, bangsi
kalau kait kaum Cina pula, kalau kakak kau macam ni pula
aku suka makan Kuih Bulan, aku suka makan kuih bulan
Kuih Bulan ni sejenis kuih, kuih bulan ni sejenis kuih
Cina yang sering dimakan, cina yang sering dimakan
sewaktu perayaan, waktu perayaan so masa
so Raya Tahun Baru Cina tu ah dia orang memang, raih tahun baru sini tu dia orang memang
wajiblah kena ada benda ni kena makan, wajib lah kena ada benda ni kena makan
kuih bulan biasanya [UNK] bulan atau segi empat tepat lah bentuk dia bulat ataupun segi empat, kuih bulan biasanya pasri bulan atau segi empat tepatlah bentuk dia bulat ataupun segi empat
pas tu dia punya ah ukuran tu lebih kurang macam sepuluh C M ke, lepas tu dia punya ukuran tu lebih kurang macam 10 cm ke
kan, ken
inti dia mesti tebal lah kalau tak tebal macam tak sedap sangat lah daripada, inti dia mesti tebal lah kalau tak tebal macam tak setiap sangat lah daripada ni
oh maruku, oh malu ku
en ah, oh oh
ah ah, uhuh
oh cat ni, ucap ni
Chakris wow, cakri
nama dia unik eh, nama di unit eh
oh tepung, oh tak payah
oh aku pun suka tosei juga, oh aku pun suka tosi juga
tapi nama kau tahu tak sebenarnya nama tosei ni [UNK] tosei pun ada nama lain juga, tapi kau tahu tak sebenarnya nama tosi ni tosi pun ada nama lain juga
dia dikenali sebagai dosa ataupun dosai, dia dikenali sebagai dosa ataupun dosai
ah ah dosa dosai, aa dosi dosai
macam-macam lah nama dia, macammacam lah nama dia
ah tosei ni dia terdiri daripada, tosi ini terdiri daripada
pelbagai jenis seperti, pelbagai jenis seperti
thosai dia ada macam-macam jenis lah thosai telur thosai cili thosai bawah eh bawah bawang, toe side dia ada macammacam jenis lah toe side telur toe side cili toe side bawah eh bawah bawang
dan macam-macam lagi lah makanan tradisional India ni, dan macammacam lagi lah makanan tradisional india ni
selalu selalu lah ada dekat Malaysia ni, selalulah ada dekat malaysia ni
terutamanya kaum India lah thosai ni boleh didapati di mana-mana gerai atau kedai mamak dan juga di restoran India, terutamanya kaum india lah tosa ini boleh didapati di manamana gerai atau kedai mamak dan juga di restoran india
makanan tradisional ni berasal daripada India, makanan tradisional ni berasal daripada india
thosai dimakan sebagai sarapan pagi atau makan malam, tusai dimakan sebagai sarapan pagi atau makan malam
tosai ni kaya dengan karbohidrat protein, tosai ini kaya dengan karbohidrat protein
dan macam-macam lagi lah, dan macammacam lagi lah
thosai di [UNK] thosai ni makan dia dengan banyak kuah lah kalau macam roti canai tu, tosai ni makan dia dengan banyak kuah lah kalau macam roti canai tu
ha ah kalau roti canai ada dua kuah kalau macam, kalau dicat ni ada rupa kalau macam
tosei ni dia kuah dia macam kuah sambar, tu sini dia kuah dia macam kuah sambar
sambal, sambal
dari buah-buahan, dari bobohan
ataupun acar India daripada India lah resepi India ataupun kari ke kari ayam kari daging dan macam-macam lagi lah, ataupun acar india daripada india lah resepi india ataupun kari ke kari ayam kari daging dan macammacam lagi lah
ah isi isi, isi
er thosai ni, tu sai ni
tosei, terima kasih kerana menonton
diisi dengan kentang dan bawang yang telah digoreng sehingga rangup so sedaplah kan nak makan, diisi dengan kentang dan bawang yang telah dikoreng sehingga rangup so sedap lah kan nak makan
ha ah, haah
putu mayam, putu mayam
ah, ah
tak pernah lah sebab aku tak suka sangat putu mayam tu, tak pernah lah sebab aku tak suka sangat peta bayam tu
hm, hmm
um, hmm
oh, oh
oh apa, oh api
apa rasa putu mayam tu, apa rasa putu mayam tu
oh, hmm
oh sedaplah, oh siapsiap ni lah
banyak betul eh makanan, banyak betul eh makanan
um um okey nanti kalau, ok nanti kalau
aku nak cuba nanti aku, aku nak cuba nanti aku
